epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,12.0423,1.09717,0.26087,1,1.48763,0.00025722,0.00025722,0.00025722
2,15.211,0.5647,0.2029,1,2.44303,0.000523496,0.000523496,0.000523496
3,20.9643,0.39559,0.17391,1,3.00911,0.000784395,0.000784395,0.000784395
4,24.6281,0.27441,0.10145,1,5.35547,0.00103992,0.00103992,0.00103992
5,28.3906,0.39703,0.15942,1,3.0332,0.00129007,0.00129007,0.00129007
6,33.3868,0.25481,0.18841,1,3.96354,0.00135826,0.00135826,0.00135826
7,38.4825,0.26913,0.17391,1,4.03125,0.00134412,0.00134412,0.00134412
8,42.4572,0.21042,0.15942,1,10.5963,0.00132997,0.00132997,0.00132997
9,46.7218,0.28328,0.23188,1,5.49609,0.00131582,0.00131582,0.00131582
10,51.7566,0.14775,0.13043,1,4.51823,0.00130168,0.00130168,0.00130168
11,55.4629,0.18367,0.11594,1,6.6263,0.00128753,0.00128753,0.00128753
12,59.4508,0.13283,0.27536,1,4.22201,0.00127338,0.00127338,0.00127338
13,64.9661,0.137,0.17391,1,7.3151,0.00125923,0.00125923,0.00125923
14,68.5325,0.21412,0.02899,1,7.8138,0.00124509,0.00124509,0.00124509
15,72.1136,0.25411,0.14493,1,6.99349,0.00123094,0.00123094,0.00123094
16,76.2353,0.24106,0.11594,1,6.42188,0.00121679,0.00121679,0.00121679
17,81.4105,0.15592,0.15942,1,4.26497,0.00120265,0.00120265,0.00120265
18,85.0084,0.08339,0.21739,1,2.90885,0.0011885,0.0011885,0.0011885
19,89.0245,0.208,0.23188,1,4.42578,0.00117435,0.00117435,0.00117435
20,94.3936,0.12762,0.17391,1,5.98828,0.00116021,0.00116021,0.00116021
21,98.2,0.3098,0.23188,1,4.08138,0.00114606,0.00114606,0.00114606
22,101.803,0.21717,0.27536,1,3.53125,0.00113191,0.00113191,0.00113191
23,106.4,0.16279,0.2029,1,5.35156,0.00111776,0.00111776,0.00111776
24,110.929,0.17075,0.18841,1,4.69531,0.00110362,0.00110362,0.00110362
25,114.659,0.1146,0.18841,1,4.57031,0.00108947,0.00108947,0.00108947
26,118.513,0.11233,0.13043,1,6.95964,0.00107532,0.00107532,0.00107532
27,124.015,0.11694,0.13043,1,13.612,0.00106118,0.00106118,0.00106118
28,127.74,0.10557,0.13043,1,8.0166,0.00104703,0.00104703,0.00104703
29,131.712,0.12937,0.15942,1,7.05469,0.00103288,0.00103288,0.00103288
30,136.35,0.12325,0.23188,1,3.44238,0.00101873,0.00101873,0.00101873
31,140.628,0.16529,0.31884,1,3.59115,0.00100459,0.00100459,0.00100459
32,144.573,0.12834,0.21739,1,3.82292,0.00099044,0.00099044,0.00099044
33,148.163,0.11861,0.21739,1,6.15885,0.000976293,0.000976293,0.000976293
34,153.493,0.09234,0.17391,1,5.20312,0.000962146,0.000962146,0.000962146
35,157.157,0.11505,0.27536,1,4.82552,0.000947999,0.000947999,0.000947999
36,160.887,0.16438,0.21739,1,3.63672,0.000933851,0.000933851,0.000933851
37,165.605,0.10858,0.14493,1,5.99089,0.000919704,0.000919704,0.000919704
38,170.303,0.12971,0.14493,1,14.0872,0.000905557,0.000905557,0.000905557
39,173.732,0.09419,0.18841,1,5.54102,0.00089141,0.00089141,0.00089141
40,177.69,0.06455,0.18841,1,5.74284,0.000877263,0.000877263,0.000877263
41,182.893,0.11006,0.2029,1,6.60026,0.000863116,0.000863116,0.000863116
42,186.644,0.0937,0.27536,1,6.88411,0.000848969,0.000848969,0.000848969
43,190.366,0.05868,0.18841,1,6.87174,0.000834822,0.000834822,0.000834822
44,194.973,0.10195,0.10145,1,5.11654,0.000820675,0.000820675,0.000820675
45,199.264,0.09302,0.10145,1,5.1901,0.000806528,0.000806528,0.000806528
46,202.695,0.06098,0.17391,1,5.05729,0.00079238,0.00079238,0.00079238
47,206.852,0.06924,0.23188,1,3.70964,0.000778233,0.000778233,0.000778233
48,212.039,0.05863,0.26087,1,6.30729,0.000764086,0.000764086,0.000764086
49,215.668,0.08007,0.23188,1,5.59766,0.000749939,0.000749939,0.000749939
50,218.974,0.077,0.24638,1,5.10612,0.000735792,0.000735792,0.000735792
51,223.501,0.05377,0.26087,1,4.47852,0.000721645,0.000721645,0.000721645
52,227.725,0.03996,0.26087,1,7.21354,0.000707498,0.000707498,0.000707498
53,231.175,0.0551,0.27536,1,5.13802,0.000693351,0.000693351,0.000693351
54,234.532,0.04025,0.26087,1,5.84375,0.000679204,0.000679204,0.000679204
55,239.718,0.02632,0.26087,1,5.07422,0.000665057,0.000665057,0.000665057
56,243.177,0.03065,0.26087,1,6.78906,0.000650909,0.000650909,0.000650909
57,246.719,0.03034,0.24638,1,5.95833,0.000636762,0.000636762,0.000636762
58,250.8,0.03692,0.26087,1,5.40234,0.000622615,0.000622615,0.000622615
59,255.624,0.03376,0.26087,1,6.52214,0.000608468,0.000608468,0.000608468
60,259.017,0.03437,0.26087,1,6.5612,0.000594321,0.000594321,0.000594321
61,262.419,0.04748,0.23188,1,5.13021,0.000580174,0.000580174,0.000580174
62,266.661,0.03369,0.23188,1,5.80469,0.000566027,0.000566027,0.000566027
63,271.148,0.02476,0.23188,1,8.07292,0.00055188,0.00055188,0.00055188
64,274.77,0.03767,0.26087,1,6.10026,0.000537733,0.000537733,0.000537733
65,278.168,0.04099,0.26087,1,6.5,0.000523586,0.000523586,0.000523586
66,283.228,0.04306,0.26087,1,5.61784,0.000509438,0.000509438,0.000509438
67,287.126,0.02098,0.23188,1,5.91667,0.000495291,0.000495291,0.000495291
68,290.832,0.06543,0.2029,1,6.92708,0.000481144,0.000481144,0.000481144
69,294.683,0.03277,0.18841,1,7.27474,0.000466997,0.000466997,0.000466997
70,299.568,0.03218,0.18841,1,8.24349,0.00045285,0.00045285,0.00045285
71,303.152,0.02643,0.18841,1,6.86589,0.000438703,0.000438703,0.000438703
72,306.689,0.04469,0.21739,1,8.82292,0.000424556,0.000424556,0.000424556
73,311.558,0.02122,0.21739,1,10.3633,0.000410409,0.000410409,0.000410409
74,315.296,0.01157,0.23188,1,8.1875,0.000396262,0.000396262,0.000396262
75,318.989,0.01679,0.21739,1,6.73438,0.000382115,0.000382115,0.000382115
76,322.517,0.03233,0.21739,1,9.53385,0.000367967,0.000367967,0.000367967
77,327.662,0.02155,0.21739,1,9.17578,0.00035382,0.00035382,0.00035382
78,330.976,0.02344,0.21739,1,8.66536,0.000339673,0.000339673,0.000339673
