epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,4.90592,1.09717,0.26087,1,1.48763,0.00025722,0.00025722,0.00025722
2,9.79383,0.56654,0.2029,1,2.41341,0.000511282,0.000511282,0.000511282
3,13.5357,0.39708,0.18841,1,2.95703,0.000747424,0.000747424,0.000747424
4,17.2608,0.27297,0.10145,1,5.08854,0.000965647,0.000965647,0.000965647
5,20.6854,0.38397,0.14493,1,3.05534,0.00116595,0.00116595,0.00116595
6,25.9176,0.24496,0.21739,1,3.81771,0.00119322,0.00119322,0.00119322
7,29.3085,0.25673,0.14493,1,4.02409,0.00114606,0.00114606,0.00114606
8,32.8526,0.16892,0.11594,1,10.0013,0.0010989,0.0010989,0.0010989
9,36.108,0.26877,0.17391,1,6.34766,0.00105174,0.00105174,0.00105174
10,41.0007,0.11533,0.2029,1,5.10807,0.00100459,0.00100459,0.00100459
11,45.9914,0.14157,0.14493,1,5.86068,0.00095743,0.00095743,0.00095743
12,49.7733,0.16747,0.15942,1,6.50781,0.000910273,0.000910273,0.000910273
13,55.1494,0.127,0.17391,1,6.90755,0.000863116,0.000863116,0.000863116
14,58.4207,0.15243,0.11594,1,5.96289,0.000815959,0.000815959,0.000815959
15,61.6595,0.20513,0.23188,1,5.84245,0.000768802,0.000768802,0.000768802
16,65.5463,0.10113,0.26087,1,5.4987,0.000721645,0.000721645,0.000721645
17,70.5177,0.1063,0.26087,1,3.95898,0.000674488,0.000674488,0.000674488
18,73.8561,0.06189,0.24638,1,4.72266,0.000627331,0.000627331,0.000627331
19,77.4094,0.17123,0.30435,1,5.60938,0.000580174,0.000580174,0.000580174
20,81.5321,0.07193,0.26087,1,4.88802,0.000533017,0.000533017,0.000533017
21,86.904,0.09843,0.21739,1,5.85417,0.00048586,0.00048586,0.00048586
22,90.1905,0.07306,0.17391,1,7.53516,0.000438703,0.000438703,0.000438703
23,93.5255,0.04743,0.14493,1,5.66471,0.000391546,0.000391546,0.000391546
24,98.5095,0.10115,0.10145,1,7.52734,0.000344389,0.000344389,0.000344389
25,101.973,0.14811,0.11594,1,7.59505,0.000297232,0.000297232,0.000297232
26,105.445,0.05239,0.14493,1,6.91146,0.000250075,0.000250075,0.000250075
27,109.045,0.05781,0.14493,1,7.10286,0.000202918,0.000202918,0.000202918
28,113.81,0.0737,0.14493,1,5.90365,0.000155761,0.000155761,0.000155761
29,117.049,0.06475,0.14493,1,7.23828,0.000108604,0.000108604,0.000108604
30,120.488,0.05789,0.14493,1,6.49479,6.1447e-05,6.1447e-05,6.1447e-05
